window_size,rmsf
19,3.568758427495349
30,4.412818055347788
45,5.403803166570581
68,6.6779179200534875
103,8.238749032179967
156,10.14647694077042
236,12.483616946144327
356,15.661215770230106
538,19.868093516131275
812,25.381949608894892
1227,32.019862840388946
1852,40.09102566857118
2797,49.534273912918444
4222,61.15012395088666
6375,75.46896393527314
9624,93.21067454646231
14530,117.45663199986178
21937,145.96121512937245
33118,175.68574540377588
49999,217.63225352370966
