window_size,rmsf
19,3.5127315497597547
30,4.1599781210290745
45,5.03157393991331
68,6.07593138218496
103,7.40746645086104
156,9.108487240536375
236,11.235475993993967
356,13.84261811934509
538,17.110986979014868
812,21.004354654472078
1227,25.694053896669395
1852,31.456062287481966
2797,38.7207021498586
4222,48.67235488018116
6375,61.81340453268703
9624,78.916672908073
14530,105.29619128513893
21937,136.92652686334742
33118,178.19322165492602
49999,233.54409339484278
