window_size,rmsf
19,3.2429318217122867
30,4.058815340393761
45,5.0013354632139135
68,6.238616640241243
103,7.898884187730739
156,10.078640407390983
236,12.993856570303942
356,17.028387556414607
538,22.606101428243747
812,30.449237317355117
1227,41.881070649022774
1852,58.360941644807866
2797,81.81617017141554
4222,115.92675019910135
6375,164.84611174787588
9624,235.5819298780583
14530,344.79222563701063
21937,505.9789620199634
33118,715.6858127652766
49999,899.6144358015473
