Row Labels,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6
qochal,0,0,0,0,0,0
aldar,0.000167983,3.05424E-05,4.58136E-05,6.10849E-05,0,6.10849E-05
cheedyal,0,0.000290289,0,0.000406405,0.000696829,0
cheedyor,0.000101885,0.000101885,0,0.00020377,0.000407619,0
olor,0,0,0,0,0,0
pedy,0.00012217,7.63561E-05,0,7.63561E-05,1.52742E-05,7.63561E-05
ysho,0,0,0,0,0,0
airar,0,0,0,0,0,0
okain,0,0,0,0,0,0
olaiin,0.00012217,4.58136E-05,7.63561E-05,4.58136E-05,6.10966E-05,0
airol,0,0,0,0,0,0
chsain,0,0,0,0,0,0
odol,4.58136E-05,3.05424E-05,6.10849E-05,0,0.000106919,9.16273E-05
odar,9.16273E-05,6.10849E-05,3.05424E-05,9.16273E-05,0,6.10849E-05
oldal,0,0,0,0,0,0
qoshal,6.79233E-05,0,0,0.000169808,6.79364E-05,0.000441502
ydol,0,0,0,0,0,0
amor,0,0,0,0,0,0
chtar,0,0,0,0,0,0
qoshy,0,0,0,0,0,0
ykaiin,0.000167983,4.58136E-05,3.05424E-05,3.05424E-05,0,4.58136E-05
ydyol,0.000152712,1.52712E-05,6.10849E-05,1.52712E-05,7.63708E-05,0
ainam,0,0.000754752,0,0.000290289,0,0.000116116
aldy,0,0,0,0,0,0
airal,6.10849E-05,0,3.05424E-05,7.63561E-05,9.1645E-05,4.58136E-05
chdan,0,0,0,0,0,0
chkeedy,6.10849E-05,4.58136E-05,0,7.63561E-05,7.63708E-05,4.58136E-05
daiinal,0,0,0,0,0,0
chtaiin,4.58136E-05,3.05424E-05,0,9.16273E-05,7.63708E-05,6.10849E-05
odyar,0,1.52712E-05,4.58136E-05,3.05424E-05,0.00018329,3.05424E-05
okal,0.00012217,1.52712E-05,0,9.16273E-05,3.05483E-05,4.58136E-05
odal,4.58136E-05,4.58136E-05,7.63561E-05,0,9.1645E-05,4.58136E-05
osho,0,0,0,0,0,0
araiin,6.10849E-05,1.52712E-05,9.16273E-05,0,3.05483E-05,9.16273E-05
chd,0,6.79233E-05,0.00040754,3.39617E-05,0.000135873,0
chees,3.39617E-05,0,0.000135847,0.00040754,6.79364E-05,0
cheedyol,0,0,0,0,0,0
chked,9.16273E-05,0,7.63561E-05,7.63561E-05,1.52742E-05,3.05424E-05
oeey,0,0,0,0,0,0
olal,0,0,0,0,0,0
orar,3.39617E-05,0,0.000237732,0.000169808,0.000203809,0
otol,4.58136E-05,1.52712E-05,1.52712E-05,0.000198526,1.52742E-05,0
ychy,6.10849E-05,7.63561E-05,0,1.52712E-05,9.1645E-05,4.58136E-05
amal,6.10849E-05,0,4.58136E-05,7.63561E-05,3.05483E-05,6.10849E-05
aly,0.000101885,0,0.00020377,0.000135847,0,0.000169808
chalol,0,0,0,0,0,0
chalal,3.05424E-05,7.63561E-05,4.58136E-05,7.63561E-05,0,4.58136E-05
chdol,0,0,0,0,0,0
chky,0,1.52712E-05,3.05424E-05,0.000106898,7.63708E-05,4.58136E-05
choshy,3.05424E-05,7.63561E-05,0,1.52712E-05,0.000106919,4.58136E-05
chteedy,0,0,0,0,0,0
kair,0,0,0,0,0,0
oly,0.000167983,1.52712E-05,3.05424E-05,3.05424E-05,0,3.05424E-05
otaiin,0.000137441,1.52712E-05,3.05424E-05,0,7.63708E-05,1.52712E-05
qod,0,6.79233E-05,0.000135847,0,6.79364E-05,0.000339617
qochy,3.05424E-05,0.000137441,1.52712E-05,4.58136E-05,4.58225E-05,0
shdy,0,0,0.000237732,6.79233E-05,0.000271746,3.39617E-05
ycho,0,4.58136E-05,4.58136E-05,6.10849E-05,7.63708E-05,4.58136E-05
airor,0,0,0,0,0,0
amol,4.58136E-05,0,1.52712E-05,4.58136E-05,7.63708E-05,7.63561E-05
chdar,0,0,0,0,0,0
chom,0,0,0,0,0,0
chsaiin,0,0,0,0,0,0
dainar,0.000237732,0,3.39617E-05,0.000237732,6.79364E-05,0
kar,0,0,0,0,0,0
odor,0,0,0,0,0,0
oldy,1.52712E-05,7.63561E-05,6.10849E-05,0,3.05483E-05,7.63561E-05
osor,0.000106898,4.58136E-05,3.05424E-05,1.52712E-05,0,6.10849E-05
ydor,0,0,0,0,0,0
yol,0,1.52712E-05,7.63561E-05,7.63561E-05,3.05483E-05,6.10849E-05
aldam,7.63561E-05,9.16273E-05,3.05424E-05,1.52712E-05,0,3.05424E-05
aiinam,1.52712E-05,9.16273E-05,9.16273E-05,3.05424E-05,0,1.52712E-05
arain,0,0,0,0,0,0
chkan,6.10849E-05,4.58136E-05,0,6.10849E-05,6.10966E-05,1.52712E-05
chtain,7.63561E-05,0,3.05424E-05,6.10849E-05,3.05483E-05,4.58136E-05
chted,0.000237732,0,6.79233E-05,0,3.39682E-05,0.00020377
dyaiin,3.39617E-05,0.000101885,6.79233E-05,0,0,0.000339617
dail,4.58136E-05,4.58136E-05,1.52712E-05,4.58136E-05,9.1645E-05,0
faiin,0,0,0,0,0,0
ocham,0,6.79233E-05,0.000101885,0,0.000101905,0.000271693
orol,0,0,0,0,0,0
qos,0,0.000232231,0,0,5.80691E-05,0.000638636
shkaiin,6.79233E-05,0.00020377,0.000169808,0.000101885,0,0
shdaiin,1.52712E-05,1.52712E-05,9.16273E-05,4.58136E-05,0,7.63561E-05
shoshy,6.10849E-05,1.52712E-05,4.58136E-05,0.000106898,1.52742E-05,0
ytaiin,0.00040754,3.39617E-05,3.39617E-05,0,0,6.79233E-05
ykal,7.63561E-05,4.58136E-05,0,4.58136E-05,1.52742E-05,6.10849E-05
aldor,0,0,0,0,0,0
