word,tfidf_balneological,tfidf_herbal,tfidf_recipes,tfidf_stars
keey,5.7226E-05,7.70751E-05,0,0.000175459
okchedy,0,0,0,0
olky,0,0,0,0
opchey,8.5839E-05,0.000115613,0,0.000140367
chl,5.7226E-05,3.85375E-05,0,0.000175459
kal,0.000100146,0.000192688,0,9.35783E-05
oteol,4.29195E-05,0.000269763,0,0.000116973
qoeedy,0.000275763,0,0,0.000338204
qotey,0.000114452,3.85375E-05,0,0.00012867
qokor,0.000114452,3.85375E-05,0,0.00012867
sair,8.5839E-05,0.000231225,0,9.35783E-05
chdal,8.5839E-05,0.000231225,0,8.1881E-05
chees,0.000100146,0.00015415,0,9.35783E-05
kchdy,0,0,0,0
okam,0,0,0,0
opchdy,0,0,0,0
rol,0.000448115,0,0,0.000169102
shecthy,0.000200291,7.70751E-05,0,3.50919E-05
ytar,0,0,0,0
chdar,8.5839E-05,7.70751E-05,0,0.000116973
cheeky,0.000143065,0.00015415,0,4.67892E-05
daly,0.000128759,0.0003083,0,1.16973E-05
lshey,0.000241293,0,0,0.000310021
okchdy,0,0,0,0
okeeey,4.29195E-05,3.85375E-05,0,0.000163762
olkar,0.000517056,0,0,8.45511E-05
okchey,7.15325E-05,0.000115613,0,0.000116973
oldy,0.000157372,0.000192688,0,2.33946E-05
okeol,4.29195E-05,7.70751E-05,0,0.000152065
shed,7.15325E-05,0.00015415,0,0.000105276
ycheey,0,0,0,0
chedain,2.8613E-05,3.85375E-05,0,0.000163762
aly,5.7226E-05,0.000192688,0,9.35783E-05
lchdy,8.5839E-05,7.70751E-05,0,0.000105276
oiin,0.000241293,0,0,0.000281837
odar,7.15325E-05,7.70751E-05,0,0.000116973
lky,0.000103411,0,0,0.000394572
okair,0,0,0,0
otchey,0.000241293,0,0,0.000281837
otair,6.89408E-05,0,0,0.000422755
qo,0.000310234,0,0,0.00022547
qokeeo,1.43065E-05,3.85375E-05,0,0.000175459
ary,8.5839E-05,7.70751E-05,0,9.35783E-05
chdaiin,0,7.70751E-05,0.000915302,0.000116973
