word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3,PC1,PC2,cluster
qof,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
oxockhey,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
qotches,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
qoksh,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
qopchedal,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
shdaly,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
shekydy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
sdal,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
shsdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
skchdy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
todal,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
shoyfar,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
todain,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
sheyk,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
teodaiin,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
ypchdair,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
ykoldy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
tshor,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
ytasal,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
ychar,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
ykaro,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
tshes,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
ykaipy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
tolteedy,0.0,0.0,0.0,0.001425185,0.0,0.0,0.16586954003113344,2.7728910169996603,2
chcthy,0.000524261,0.000228295,0.0,0.001290046,0.0,0.000395595,6.690178934533548,3.721046811869329,4
tar,0.000262131,0.000456589,0.0,0.001290046,0.0,0.000257997,3.7318398519072704,4.9059545629137515,2
olkeedy,0.000792819,0.0,0.0,0.001102674,0.0,0.000499854,9.318815599654089,2.191203060764837,1
otchy,0.000206822,0.0,0.0,0.001102674,0.0,0.000117613,2.3040456258290454,2.1406791899867073,2
tshey,0.000103411,0.0,0.0,0.001102674,0.0,8.82e-05,1.357508381425187,2.0872263190125575,2
dchdy,0.000137882,0.000130091,0.0,0.001102674,0.0,0.0,0.8789875090829282,2.9301440215686934,2
kshedy,6.89e-05,0.0,0.0,0.001102674,0.0,5.88e-05,0.891627352908251,2.0923158878613983,2
eedy,3.45e-05,0.000260182,0.0,0.001102674,0.0,0.0,0.11451542670989626,3.552640633917954,2
okshy,6.89e-05,0.0,0.0,0.001102674,0.0,2.94e-05,0.6664501047879247,2.126736130040517,2
cholky,0.0,0.000130091,0.0,0.001102674,0.0,2.94e-05,0.1424795365882253,2.778538768809604,2
tam,3.45e-05,0.000130091,0.0,0.001102674,0.0,0.0,0.1579293471936101,2.8422803354908988,2
todaiin,0.0,0.0,0.000324386,0.001102674,0.0,2.94e-05,-0.20642614950215754,1.9467941479044601,6
tchor,3.45e-05,0.0,0.0,0.001102674,0.0,2.94e-05,0.42652051579765043,2.0974997948847247,2
qokaiin,0.000961092,0.000444838,0.0,0.001015144,0.000179143,0.000873948,13.19879893578765,3.7452180166579825,1
okal,0.00026294,0.000547493,0.000255974,0.001015144,0.0,0.000317096,3.675341233702732,4.6667031014703655,2
qotaiin,0.000483933,0.0,0.0,0.000967534,0.000796793,0.000636392,8.325442969201584,-0.282888328225502,1
kaiin,0.000201639,0.000456589,0.0,0.000967534,0.0,0.000481594,4.817322055210435,3.9224707753692583,4
otody,2.02e-05,7.61e-05,0.0,0.000967534,0.0,5.16e-05,0.3854538140439339,2.194029757281661,2
shedain,0.0,0.0,0.0,0.000873848,0.0,0.00046603,3.384522839021906,1.0814094144358792,4
alkain,0.0,0.0,0.0,0.000873848,0.0,0.000279618,1.9567765404978834,1.2996524819560793,5
qodar,0.000163903,0.0,0.0,0.000873848,0.0,0.0,0.9583309131848996,1.7663171716387007,2
chckhaiin,0.0,0.0,0.0,0.000873848,0.0,9.32e-05,0.5289842874334282,1.5179025740154997,6
opary,0.0,0.0,0.0,0.000873848,0.0,9.32e-05,0.5289842874334282,1.5179025740154997,6
otaldy,0.000109269,0.0,0.0,0.000873848,0.0,0.0,0.5772752979263345,1.7198840921357483,2
podar,0.0,0.0,0.0,0.000873848,0.0,9.32e-05,0.5289842874334282,1.5179025740154997,6
poiin,0.000109269,0.0,0.0,0.000873848,0.0,0.0,0.5772752979263345,1.7198840921357483,2
qotedaiin,0.000109269,0.0,0.0,0.000873848,0.0,0.0,0.5772752979263345,1.7198840921357483,2
shcthhy,0.000109269,0.0,0.0,0.000873848,0.0,0.0,0.5772752979263345,1.7198840921357483,2
alod,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
chctham,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
chkam,5.46e-05,0.0,0.0,0.000873848,0.0,0.0,0.19597556826036625,1.6734212663615617,6
chetaiin,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
dkshey,5.46e-05,0.0,0.0,0.000873848,0.0,0.0,0.19597556826036625,1.6734212663615617,6
dan,5.46e-05,0.0,0.0,0.000873848,0.0,0.0,0.19597556826036625,1.6734212663615617,6
dalshdy,5.46e-05,0.0,0.0,0.000873848,0.0,0.0,0.19597556826036625,1.6734212663615617,6
kshed,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
ofaiin,5.46e-05,0.0,0.0,0.000873848,0.0,0.0,0.19597556826036625,1.6734212663615617,6
odaly,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
oldaiin,0.0,0.000206189,0.0,0.000873848,0.0,0.0,-0.2536522242325702,2.752909570590432,2
olkeody,0.0,0.000206189,0.0,0.000873848,0.0,0.0,-0.2536522242325702,2.752909570590432,2
oltar,5.46e-05,0.0,0.0,0.000873848,0.0,0.0,0.19597556826036625,1.6734212663615617,6
okchaiin,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
osain,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
qekeey,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
qokeeod,0.0,0.0,0.0,0.000873848,0.0,4.66e-05,0.17207069007263878,1.5724598286259397,6
shekshey,0.0,0.000206189,0.0,0.000873848,0.0,0.0,-0.2536522242325702,2.752909570590432,2
