word_type,tfidf_divcom,tfidf_desphaera,tfidf_herbal,tfidf_nathist,plaintext,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,PC1,PC2,cluster
odeor,0.0,0.000230807,0.0,0.0,ti,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
oched,0.0,0.000230807,0.0,0.0,ca,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olteo,0.0,0.000230807,0.0,0.0,cu,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
oltod,0.0,0.000230807,0.0,0.0,ci,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olcheees,0.0,0.000230807,0.0,0.0,an,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olkos,0.0,0.000230807,0.0,0.0,us,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olshedal,0.0,0.000230807,0.0,0.0,is,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olshey,0.0,0.000230807,0.0,0.0,ie,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olsheeody,0.0,0.000230807,0.0,0.0,id,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
olkeedaiin,0.0,0.000230807,0.0,0.0,ul,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
otcheeey,0.0,0.000230807,0.0,0.0,rc,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
opeain,0.0,0.000230807,0.0,0.0,un,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
oseeody,0.0,0.000230807,0.0,0.0,nd,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
orydy,0.0,0.000230807,0.0,0.0,hi,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
otchaiiin,0.0,0.000230807,0.0,0.0,rc,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
otas,0.0,0.000230807,0.0,0.0,up,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
oteain,0.0,0.000230807,0.0,0.0,un,,,,,,,,,-2.1549028289631704,-2.4763796022851,8
