word,tfidf_balneological2,tfidf_herbal2,tfidf_herbal5,tfidf_recipes3,tfidf_starsx,tfidf_stars3
chckhy,0.000398944,0.000923895,0.000341298,0.000870124,0,0.000301628
okar,0.000281074,0.000752804,0.000255974,0.000870124,0,0.000317096
otain,0.000281074,0.000102655,0,0.000870124,0.000179143,0.000394437
okain,0.000426144,0.000273747,0.000170649,0.000725103,0,0.00057232
oty,0.000235739,0.000239528,0.0000853,0.000725103,0,0.000177883
olkaiin,0.000221803,0.000228295,0,0.000645023,0,0.000257997
olor,0.00036295,0.000152196,0,0.000645023,0,0.0000688
otor,0.000161311,0.000304393,0,0.000645023,0,0.000154798
yty,0.0000403,0.000304393,0,0.000645023,0,0.0000172
chekar,0.0000403,0.000152196,0,0.000645023,0,0.0000172
qokal,0.001051761,0.000136873,0.000341298,0.000580082,0,0.000317096
oteey,0.000217606,0.0000342,0.000170649,0.000580082,0,0.000487245
am,0.000136004,0.000102655,0.000255974,0.000580082,0,0.000232022
ody,0.0000725,0.000342183,0.0000853,0.000580082,0,0.0000309
sain,0.001137523,0,0,0.000551337,0,0.000793886
olkeey,0.000758349,0,0,0.000551337,0,0.000441048
qokair,0.0000345,0,0,0.000551337,0,0.000294032
qotchey,0.000103411,0,0,0.000551337,0,0.000205822
ycheol,0.0000345,0,0,0.000551337,0,0.000235226
yshedy,0.000275763,0,0,0.000551337,0,0.0000294
oar,0.0000689,0,0,0.000551337,0,0.000176419
otaly,0.000137882,0,0,0.000551337,0,0.000117613
okshey,0.000103411,0,0,0.000551337,0,0.000117613
qokan,0.000137882,0,0,0.000551337,0,0.0000882
qokshey,0.000206822,0,0,0.000551337,0,0.0000294
tshedy,0.000103411,0,0,0.000551337,0,0.000117613
chekain,0.0000689,0,0,0.000551337,0,0.000117613
ls,0.000103411,0,0,0.000551337,0,0.0000882
ykchedy,0.000103411,0,0,0.000551337,0,0.0000882
chtal,0.0000345,0,0,0.000551337,0,0.000117613
qokshy,0,0,0.000324386,0.000551337,0,0.000117613
ycheeo,0,0,0,0.000551337,0.000681063,0.000117613
chckhal,0.0000689,0,0,0.000551337,0,0.0000588
lkeol,0,0,0.000324386,0.000551337,0,0.0000882
dsheedy,0.0000345,0,0,0.000551337,0,0.0000588
fcheey,0.0000345,0,0,0.000551337,0,0.0000588
kas,0.0000689,0,0,0.000551337,0,0.0000294
kary,0.0000689,0,0,0.000551337,0,0.0000294
okody,0,0.000130091,0,0.000551337,0,0.0000588
pchedaiin,0.0000345,0,0,0.000551337,0,0.0000588
par,0.0000689,0,0,0.000551337,0,0.0000294
tedain,0,0,0.000324386,0.000551337,0,0.0000588
als,0,0.000130091,0,0.000551337,0,0.0000294
daiis,0.0000345,0,0.000324386,0.000551337,0,0
dalal,0.0000345,0,0.000324386,0.000551337,0,0
ety,0.0000345,0,0,0.000551337,0,0.0000294
qokeal,0.0000345,0,0,0.000551337,0,0.0000294
qokshd,0,0,0.000324386,0.000551337,0,0.0000294
shos,0,0.000130091,0,0.000551337,0,0.0000294
s,0.00014507,0.00061593,0.000682597,0.000435062,0,0.0000928
oky,0.000154137,0.000547493,0.0000853,0.000435062,0,0.0000928
kain,0.000181338,0.0000684,0,0.000435062,0.000179143,0.000154681
shdy,0.0000997,0.00041062,0.000341298,0.000435062,0,0.0000928
chy,0.000126937,0.000273747,0,0.000435062,0.000179143,0.0000773
sol,0.000846883,0,0,0.000322511,0.000398397,0.0000688
lshedy,0.000483933,0,0.000379507,0.000322511,0,0.000257997
char,0.000100819,0.000228295,0,0.000322511,0,0.000464394
otol,0.000342786,0.000152196,0,0.000322511,0,0.000223597
ykar,0.000161311,0.000913179,0,0.000322511,0,0.000086
okol,0.000201639,0.000152196,0,0.000322511,0,0.000154798
shar,0.000201639,0.0000761,0,0.000322511,0,0.000171998
okchedy,0.0000807,0.0000761,0,0.000322511,0,0.000257997
olky,0.000322622,0.000228295,0,0.000322511,0,0.0000172
opchdy,0.000120983,0.000152196,0,0.000322511,0,0.000171998
okair,0.0000403,0.000380491,0,0.000322511,0,0.000154798
qopchdy,0.0000202,0.000152196,0,0.000322511,0,0.000189197
sho,0.0000202,0.0000761,0,0.000322511,0,0.000206397
teedy,0.0000605,0.0000761,0,0.000322511,0,0.000137598
ly,0.000181475,0.0000761,0,0.000322511,0,0.0000172
aral,0.0000605,0,0,0.000322511,0.000398397,0.000103199
chdam,0.0000202,0.000380491,0,0.000322511,0,0.0000516
qodain,0.0000403,0,0,0.000322511,0.00119519,0.0000688
sheos,0.0000403,0.0000761,0,0.000322511,0,0.000103199
chdain,0.0000202,0.000152196,0,0.000322511,0,0.0000688
aram,0.0000202,0.0000761,0,0.000322511,0,0.000086
cphedy,0.0000605,0,0.000189754,0.000322511,0,0.0000516
okor,0.0000403,0.000152196,0,0.000322511,0,0.0000516
qokees,0.0000605,0.000228295,0.000189754,0.000322511,0,0
ty,0.0000605,0.000228295,0.000189754,0.000322511,0,0
choky,0.0000202,0.000152196,0,0.000322511,0,0.0000516
chkar,0.0000202,0,0,0.000322511,0.000398397,0.0000516
eeedy,0.0000202,0.000152196,0,0.000322511,0,0.0000344
qoko,0.0000403,0.0000761,0,0.000322511,0,0.0000344
ldar,0.0000202,0.0000761,0,0.000322511,0,0.0000344
tody,0.0000202,0.000152196,0,0.000322511,0,0.0000172
odor,0.0000202,0.0000761,0,0.000322511,0,0.0000172
ofar,0.0000202,0.0000761,0,0.000322511,0,0.0000172
ykol,0.0000202,0,0.000189754,0.000322511,0,0.0000172
okedy,0.000453345,0.000581712,0.000938571,0.000290041,0,0.000255224
otaiin,0.000226673,0.000171092,0.000170649,0.000290041,0,0.00057232
otal,0.000308275,0.000239528,0.000426623,0.000290041,0,0.000433107
okeedy,0.000353609,0.000376402,0.0000853,0.000290041,0,0.000371235
qokchdy,0.000217606,0.000444838,0.0000853,0.000290041,0,0.000108277
kar,0.0000907,0.000513275,0.0000853,0.000290041,0,0.000139213
kedy,0.000181338,0.000307965,0.000255974,0.000290041,0,0.0000773
olaiin,0.000108803,0.00020531,0.0000853,0.000290041,0,0.000108277
ykaiin,0.000154137,0.000171092,0,0.000290041,0.000179143,0.0000464
chedaiin,0.0000635,0.0000342,0,0.000290041,0.000179143,0.000123745
qodaiin,0.0000725,0.0000342,0,0.000290041,0.000179143,0.000116011
taiin,0.0000544,0.0000684,0.0000853,0.000290041,0,0.000123745
shor,0.0000997,0.0000684,0.000170649,0.000290041,0,0.0000696
cheey,0.000417077,0.000136873,0,0.000145021,0.001612288,0.000525916
lchedy,0.000534947,0.0000342,0.000170649,0.000145021,0,0.000425373
saiin,0.000408011,0.000547493,0,0.000145021,0.000358286,0.000270692
ain,0.000199472,0.000239528,0.0000853,0.000145021,0,0.000378969
raiin,0.000163204,0,0.000170649,0.000145021,0.000895715,0.000301628
shol,0.000199472,0.000307965,0.000341298,0.000145021,0,0.000185617
