text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Enciphered - Steganographia_bigraph2,8.995862822,4.717223155,0.686634102,9.763433643,4.562166017,0.723286484,0.034161523,1.19609273,1.345004658,6.703294204,1.206556198,1.634765046,4.903225545,7.31,1.23,1.986052047,0.45915189,-1.640470764,1.996508651,0.451318935,-1.745644227,0.356582565,0.046234362,647.95,10.66315767,0.360508357,0.218016594,5.251633009,0.546842712,0.257470713,3.59693101,167.22,0.000246078,0,21.42,0.124248965,0.021691052,417.14,2.046771092,0.403891145,12.21620227,0.008268649
Enciphered - Steganographia_bigraph3,8.408481497,4.462087753,0.778369886,9.100230387,4.328055783,0.822149925,0.048974959,1.163653227,1.318535273,6.335090291,1.197132131,1.583354906,4.660745372,7.39,1.1388,1.978850194,0.470433686,-1.691021476,1.996992614,0.444864252,-1.754968211,0.449871267,0.046688428,765.55,11.27220701,0.372031462,0.22397469,4.968844787,0.560764643,0.263795541,3.325702301,167.35,0.000246074,0,21.19,0.157705942,0.03823121,368.6,1.992616584,0.397988137,11.64625637,0.009037543
Enciphered - Steganographia_conflc,6.252381022,3.178872305,0.772076818,6.775002918,3.073621422,0.802527739,0.072922849,1.182458671,1.035916588,5.045341728,1.132776351,1.14469559,4.058939488,7.14,1.1448,1.972638456,0.469084454,-1.58453055,1.986789103,0.460177959,-1.716842343,0.325563713,0.050492241,413.07,6.725742728,0.384513971,0.235019576,5.371901099,0.606846302,0.293422334,2.847550823,167.08,0.000343885,0,19.55,0.051719841,0.003874139,415.7,2.074707064,0.453454712,11.05312935,0.009510541
Enciphered - Steganographia_Crema,6.196806946,3.186999091,0.760613404,6.464300159,3.088808558,0.808359202,0.050762842,1.391268451,1.05771235,4.458396815,1.102085799,0.980813774,3.730448968,6.12,0.4824,2.14675223,0.296588816,-3.629381681,2.150572766,0.28930219,-3.851642256,0.085494365,0.02378354,107.61,1.555692187,0.558469672,0.245115715,3.345266294,0.720906383,0.306138429,1.889046479,191.13,0,0,40.51,0.013460629,0.000202233,1242.16,1.781165472,0.642585357,9.055272597,0.002065297
Enciphered - Steganographia_mCClass,6.059579268,3.120646493,0.842096427,6.590829672,3.026209006,0.875543746,0.066492541,1.209318195,1.030625652,5.03297084,1.130575575,1.109706993,4.046716392,7.22,1.2132,1.969492076,0.474562408,-1.552977973,1.988372623,0.459675651,-1.676455259,0.200154945,0.069489689,246.27,6.739440332,0.356194508,0.164518263,8.994654,0.588513921,0.199034414,4.227774267,166.67,0.000688557,0,14.25,0.000246803,1.58E-05,399.96,2.143924199,0.455190904,9.561245642,0.010122187
Enciphered - Steganographia_mvCClass,5.932851136,2.973709568,0.656864478,6.482014018,2.85873826,0.657287565,0.018069274,1.106438131,0.998567734,4.887056684,1.151354337,1.17989039,3.843523619,7.15,1.2024,1.940792278,0.493848926,-1.410110067,1.963236839,0.471650425,-1.489115822,0.228444015,0.09297828,275.03,14.38675325,0.311895356,0.155870176,9.217442523,0.565367346,0.166242928,6.735527986,163.04,0.001384635,0.000147097,10.69,0.00075595,0,195.95,2.046507999,0.407194752,9.886147647,0.011440334
Enciphered - Steganographia_No_Voicing,6.208904791,3.108004921,0.659445018,6.6686707,3.006759365,0.684765094,0.029080792,1.299233547,1.038478765,4.769191688,1.115966914,1.061481341,3.9799391,6.75,1.1336,2.006962412,0.442526564,-1.796651434,2.021208203,0.429525513,-1.923207411,0.117254681,0.0404052,147.49,3.619515758,0.431302744,0.228990044,4.786232842,0.665125117,0.293000255,2.508643472,171.41,0.000147324,0,24.24,0.014307016,0.000290796,688.53,1.96863188,0.510351067,12.71432889,0.005779213
Enciphered - Steganographia_No_Vowels,3.596290405,1.920322791,0.793169467,3.980028427,1.85821975,0.777223451,0.071742437,1.333263826,1.006446873,3.256776182,1.081901449,0.850672628,2.692787631,7.6,1.2232,1.894490741,0.530776585,-1.251449906,1.920474941,0.501963446,-1.316110824,0.151345959,0.045133218,111.14,3.06373095,0.491974956,0.283956516,3.955272964,0.859909204,0.303920734,2.567900414,158.65,0.000930108,0,21.5,0.046017967,0.002454835,399.04,1.934883196,0.525970681,8.121333839,0.0121888
Enciphered - Steganographia_pCClass,5.7991699,2.963633168,0.808779956,6.335658677,2.862612473,0.833410715,0.032907353,1.179403015,1.002478897,4.909831866,1.131956301,1.106259535,3.982090073,7.38,1.3008,1.941923786,0.501740129,-1.439621655,1.964572914,0.481670835,-1.540708083,0.25848955,0.061140364,304.71,6.905224702,0.361247194,0.205589596,6.526476941,0.60271409,0.281802385,3.064166102,164.28,0.000541728,0.000148295,16.17,0.000618354,1.67E-05,371.55,2.064926553,0.449759466,8.310565863,0.00790239
Enciphered - Steganographia_Sort_Alph,6.206371929,3.170918489,0.77378102,6.708700327,3.073879468,0.817623287,0.054934235,1.234770812,1.060035382,4.775669288,1.130064747,1.10927272,3.747929612,7.19,1.1308,1.981528559,0.464214616,-1.646642793,2.002979599,0.449498726,-1.814093554,0.116081184,0.036848164,146.26,5.348828067,0.542169099,0.218288489,4.770366676,1.321803306,0.27571303,1.708624976,168.36,0.000441221,4.93E-05,26.54,0.146355561,0.020452581,501.23,1.904297115,0.484056863,11.44279375,0.008912416
Enciphered - Steganographia_spl,6.166082822,3.173830042,0.812632655,7.176059219,3.085792794,0.724369357,0.054410677,0.889038204,1.137632,5.663156893,1.202808594,1.55710387,4.151656848,8.73,1.364,1.739361366,0.592551967,-0.650441212,1.769964318,0.5717965,-0.697256688,0.505569971,0.185223355,631.89,103.0008146,0.255552053,0.144612147,11.77785894,0.439150198,0.16325381,9.540020833,137.05,0.003055196,0,5.53,0.388733763,0.144868184,31.64,1.402479331,0.270771113,8.278851248,0.028290522
Enciphered - Steganographia_Two_Vowels,6.17439996,3.061005658,0.63175624,6.655042244,2.953762322,0.658966996,0.024006275,1.218703161,1.047678052,4.833631088,1.114912957,1.098557108,3.886341668,6.84,1.1436,1.987489559,0.457632515,-1.617255229,1.995840224,0.4532423,-1.761705641,0.237077538,0.041864953,296.83,5.253768903,0.413649271,0.25763768,3.996809776,0.659958344,0.310350554,2.322035077,168.4,0.00014902,0,23.44,0.03318139,0.001079479,505.8,2.086509439,0.47794541,10.95132236,0.006594452
Enciphered - Steganographia_u_vowels,6.199447906,3.087229718,0.684034349,6.710697227,2.98931217,0.699075173,0.040052043,1.104322904,1.02219329,4.987772392,1.133797748,1.181865284,4.017005249,6.75,1.0912,1.969824573,0.465726513,-1.540047727,1.988057318,0.45434923,-1.748497768,0.428281459,0.04380881,538.16,7.596076002,0.395004491,0.263271193,3.769614856,0.643147001,0.308310673,2.555500824,166.42,0.000148281,0,22.41,0.07198007,0.006700715,369.96,2.066791425,0.445740138,11.19913663,0.010500468
Enciphered - Steganographia_VC1,6.1990265,3.102369807,0.6760215,7.492279161,3.187094575,0.424962726,0.05072379,0.856200921,1.289603448,5.388313477,1.158626971,1.660841258,4.129850049,13.81,2.6084,1.452399991,0.682553575,-0.050384475,1.470693058,0.670719481,-0.037726338,0.556121049,0.189579527,699.43,111.6015188,0.247693226,0.139486852,11.71062095,0.42588614,0.171724368,8.247717811,104.05,0.009863719,0.000145397,5.41,0.178888483,0.020622136,28.98,1.156834463,0.235063474,4.042457476,0.089614504
Enciphered - Steganographia_VC2,6.114806322,3.200369401,0.793087464,7.118207437,3.124185588,0.686190852,0.048995045,0.929438719,1.170049272,5.494393432,1.20672115,1.535692623,3.857409504,9.96,1.5164,1.719705012,0.607996278,-0.615370432,1.733641196,0.599557831,-0.655753433,0.442805612,0.15075468,548.86,57.77483615,0.267954052,0.15547929,10.2308878,0.457643624,0.206449446,4.957876597,134.44,0.003799555,4.93E-05,6.73,0.147973042,0.014548344,53.89,1.511962472,0.294225941,7.137764309,0.030004754
Enciphered - Steganographia_wdb,8.377065649,5.989085555,2.011084848,9.010861029,6.065515084,1.987224782,0.062039697,1.569011369,1.986502943,6.578034765,1.069676822,1.369521413,4.54602454,5.8,0.9556,2.051648298,0.409879316,-2.187599231,2.065722053,0.394250878,-2.265765977,0.115720977,0.036888259,195.57,4.01937296,0.449150087,0.191364854,6.014252473,0.689144098,0.193505749,1.523929358,177.57,0.000346561,0,26.65,0.016337855,0.000215545,893.68,1.757079312,0.477628862,13.03672756,0.003707229
Enciphered - Tswana_2v6c,4.479638834,2.919046941,0.870237273,6.175232754,2.745501965,0.419002073,-0.238064536,1.13649759,1.100267343,3.613709035,1.352120348,1.333287703,2.465393876,24.23,3.5868,1.294740399,0.758436792,0.121789763,1.368388714,0.722028507,0.057023563,0.445722334,0.098492719,405.92,13.72012129,0.343711855,0.138270535,2.494239844,0.591319143,0.17819669,1.294428782,93.21,0.025542449,0.001323117,9.08,0.043043133,0.00215205,147.23,1.706149024,0.341007758,1.463452176,0.163813175
Enciphered - Tswana_addB,8.907570197,5.757205832,0.848218654,11.41421115,5.67096322,0.445142809,-0.238184422,1.22162424,1.300153399,3.235391196,1.252221146,1.263999278,2.460786159,15.01,2.6356,1.484978904,0.675087063,-0.132977193,1.546834673,0.649186105,-0.226870793,0.499937886,0.041109911,898.5,19.92317626,0.402016331,0.232398456,3.202876332,0.522244994,0.312333513,1.758590806,105.79,0.017636676,0.00019779,23.82,0,0,229.17,1.431589685,0.302930738,4.255276147,0.100769928
