78_01,78_02,52_10,52_09,52_08,52_07,52_06,52_05,52_04,52_03,52_02,52_01,78_10,78_09,78_08,78_07,78_06,78_05,78_04,78_03
OL,TZU,HOKUY,ODDAR,HOTD,ZTSEOL,HOKAN,OPSUOC,OL,AJ,OLZAJ,HOTSDY,YTSDY,OKSY,PSAJ,HOKUY,HOLKEAR,OLAJ,DY,DAR
DY,YZEDOR,DZDAM,TAR,HOKOL,HOKOR,HOKAR,KEAJ,CAIRUDY,COLOD,HOKAM,DAM,DAL,SC,OTC,LZAIL,OLKUDY,KE,AREAR,LKAM
OTZEOR,OR,KUEOC,DZDAM,OTUDY,RAM,OTY,SC,OLSUDAR,DAL,YTEAN,OKEDY,OKAM,COLAN,HOKAR,KSOJ,LSUOL,OTUY,ORUEY,YTUDY
OKSEY,TSEODY,OL,HOTEDY,OTUY,LEAR,YTOJ,CALUAL,AN,OTAM,PSUAJ,ZKSY,DAR,YZO,OLSAR,SEOL,HOKUY,AN,HOKAN,ZEDY
OLUAR,OTY,KSAJ,DKAM,OKDAM,HOKSY,HOOM,HOL,LKEAL,SEDY,OTAL,RAM,TUO,OKOR,SEDY,ZUY,HOKUY,OLKUY,TUEO,OLKAM
ZEDY,LKSDAJ,AR,OKSAJ,YSEDO,OLD,HOKEOR,ZAM,LKOLC,OTSAI,ZAL,OKEY,AR,YTEOD,OTOL,SEDY,OKAN,KEOD,OR,OTAN
CAN,ZUY,HOKUY,AR,OR,AR,OLKUDAR,ZEY,FSOL,SDAM,HOLO,HOTUEY,HOPDY,HOKEDY,HOKAN,TSDALY,ZUOL,ODEDY,OTUDY,OTSAM
HOL,ALUDY,SEY,ORANN,ANREDAM,TSEODY,HAIJ,LAN,SY,KEDO,ZAL,ZEY,HOLZAIR,ZOL,KY,HOTAN,ODUOL,OKUDY,YKAC,OKEDY
OLKOR,OLKDOR,OLKDAM,OPDAM,OLAR,STSUEDY,SUY,PSEY,YKEDAR,YTOM,SDAM,YEOC,DAM,LSEO,KSUDAR,ZOL,HOKSDY,HOKUY,LTUDY,LKSAL
KODY,ZEODY,HOKEY,OLKEY,OSEO,HOKAR,RUY,DAM,COLOR,ODEY,KUDAR,OKUDY,HOKOL,TEDOR,PSDAM,DAM,KUO,OLUDY,AREOL,HOKUY
SEDY,OR,OL,ZDAM,TCDY,OLYDAR,HOKARY,OKUOR,STSEOR,KZR,OLSERY,AL,LKUEY,OL,OL,AL,LSEDY,CALUEOC,OTUDY,OKAM
HOKSY,HOKEY,TSDY,KAC,SKSUOR,HOKUY,OLKDAM,ZEDY,DAM,OTDAM,HOKEDY,DAL,OLKDAJ,OTSO,LO,OKSAI,TZEO,LCAL,ZUDY,ZUC
DAR,DAL,ZEODY,AL,KAC,DLEAL,LED,HOKUY,AREY,HOKSAIR,LOL,LCEDY,COMED,DSEDAJ,HOKAM,OTEDY,PSAM,HOKAM,ZTSEDAR,ALY
KSDAR,HOKAM,RC,YZUC,AJ,ZEDY,YTSEAR,AN,HOKUDY,OTUDY,PSEDY,HOKAR,YZEODY,HOKUDY,PSEOL,OLKAM,HOTAM,LZAR,LCOJ,HOTAM
YZDY,YSUOL,PSEOL,OL,TY,DOLU,DLU,ZTSAL,OTUY,KUOD,OLYEDY,RAM,HOTY,HOKEOL,OKSY,SKSUAR,DAR,CAR,DAR,REC
COLEDAJ,OTAR,YZUY,TEO,LCUOR,ORUDAL,YSEDAM,LZAR,AR,RDAM,OTUDY,CSDY,AJ,OKUDY,PSEC,LSUY,YKSEC,HOTAN,OCOJ,OTAL
ANNAL,ZTSDAIR,CAN,LAC,OTODY,AN,OPDAN,OTOL,ZEOL,HOKAM,ZEDY,COREAL,TEDAM,OKAN,ALD,YTSAM,OLKAR,HOKUDY,YKUY,HOTECY
OLAR,SUY,HOLKAIR,SDY,ZEODY,DAM,HOKUDY,FSJ,YSEDO,ZUDY,LKOR,HOKAR,SEOL,CE,OTZJ,DALUDY,DAM,HOKSDAL,LODY,LKSEDOL
OTOL,AM,OTAM,OLKAM,ZAJ,LTAR,ZODY,DOREAL,YTAL,OLKUDAR,CAL,HOKSJ,HOKUDY,OR,ZAL,ZDOR,AL,HOPO,LKSDOL,OTAL
OPEODY,OKAN,SKSY,DAR,OKAL,ALAC,KEDAM,LKEAM,ZUY,OKY,OLAI,OTUDY,HOKAN,OTAM,SUDY,ODYEDAL,OPSAR,HOKZEOC,ODYEAL,OLAR
DOLEAL,ODUC,DAN,OPSOJ,HOKEOR,OTAN,ARAIR,ODYD,LZAR,OL,ONNUY,PSUDAN,ANNUOD,SEDY,OLZEDAN,OTAN,YKUC,HOPY,HOKAM,LKSUEY
KZUR,OLKAN,ZUY,OTEDY,OTAN,SUY,DY,REDAL,HOFSEAL,OTAM,OTEDY,ARJ,ZEDAM,OCAJ,ZEDO,HOKUY,SEOL,SKSDAJ,OTAM,OSUY
AM,HOPEDAN,OLZEO,OPEDAN,ANNDOR,TEOC,HOKEOLC,YTUOD,HOTUDY,LSEDY,DOLUY,COLO,SEDY,KU,ZEDY,AIRU,OKUDY,OLKAN,OLKAN,TEDAL
DAJ,YTOC,DODY,OTAR,RDOL,LEOL,YPSEOL,HOKAN,OLKEY,DAL,HOKUY,DAM,DAM,HOTAR,ANNOL,OKEY,SEY,LE,HOKUDY,OL
AL,OLEDANN,AM,Y,AM,DAN,OPSUODY,OUDY,ZUDY,PSDY,HOKSEDY,OTUY,OTAM,HOR,COLSEDY,HOTAM,OKAN,HOL,CED,DAM
LKEOL,OKAN,SOR,SUY,OLKAN,AL,ZEDY,RODY,KEDAR,OTUAL,AIR,OTEDY,KEO,SKSEY,OPSEDY,HOTAC,LKAM,AREDY,LKAN,OKAM
DSUOL,YKAJ,OKZUOL,AN,HOKEDAM,STSEDAR,ZKSAN,ZAL,LKSUOR,HEOC,OPSEOC,HOKSY,CEDAN,LTUOL,HOTUDY,OREDAJ,SUY,OPSY,ECUY,YKUY
SUDY,OTAN,CORY,OTAN,OPUDY,SEDY,ZEOL,Y,PSEOL,DALUEDY,OLKUY,OPSEY,LKSUODY,OTAM,YKOC,HOKUY,OTUDY,YSUY,OLZY,CDY
OKUDY,HOKAR,HOKAN,RSUC,HOKAR,TE,KODY,COLEDAR,OLKUDY,PUC,OL,OKEDY,REO,ZUY,Y,ZEDY,OLSDAN,HOKAR,ZUDY,DAM
AN,OLKAM,TODY,OTC,OR,DAR,SEOL,LZUDY,OPUDAR,HOKAM,HOKY,CAM,PSUC,KSUOR,HOKAR,ANROJ,RUO,CEOC,CY,ODOL
OKAR,OKUDY,OL,HDAL,STSEDY,RSUY,HOLZEOR,HOKY,DSAM,HOKAN,OTOLY,SOL,OTUDY,OKAR,OPSEY,LZUDY,OPAR,OTZEOC,HOKUDY,OTSAR
SDY,YTUDAR,ORDAR,LKDAR,OLKOL,HOTAN,HAN,SAJ,HOKEDY,OTUDY,HOKUDY,HOKUDY,HOKAR,YTAR,OREDANN,OROL,DLEO,OKAN,OL,AR
DAL,KY,DLUDAN,OTOL,OLKJ,ORUDAL,PSOL,OPEAL,DAM,LED,Y,KUD,ZEDAL,SKSY,PJ,TJ,DAR,OTAM,HOKAR,ZEOL
LKSUD,ZUY,HOTY,OTEODY,HOKAM,YSD,DAM,HOTUY,RSEODY,YTSEDY,OTAR,OREOR,AR,OFEO,DOLUY,FAM,SEDY,HOKAM,HOTEDY,YTOLY
HOKZDAR,LCAL,OTEDAN,OTAM,OLKUDAR,SEY,DAR,HOTSEOR,HOKAN,DLUOL,LCUEC,CEO,OFUY,KEDAM,ZOL,DAM,OLKAM,OTUDY,PSY,ZEDY
OTSE,HOKAM,ZUY,PODY,HOKUAR,ZKSY,ZEOL,ANRUEY,CAN,HOKEDY,RUD,HOTAR,HOTEDY,OLKEDAN,HOSEDAJ,ZUY,YKAC,LAIR,OL,SEY
HOAJ,HOKSY,HOPAIR,HOKUDY,ZEDAN,HOKEDY,RAM,YOD,ANNAIJ,OKAM,HOTY,RAM,OTAM,HOTAM,DAM,SEDY,YTSEDAJ,HOKUY,OKSAJ,OKAN
FSEO,HOKSED,ANNOD,OR,KY,COMDY,LKEDAJ,ZOR,DAROR,OLKAN,DAR,OL,OKAN,TEOL,ODYEDAL,OKUY,LKOD,SEDY,DYTUDAM,LDAM
YTSER,DY,HOKAM,HOKAR,ZUY,SEY,ZTSEAN,KUEY,OTY,DY,ZEOL,HAC,OTAR,HDY,LCAC,SEY,OKSY,DLU,YTOM,SEDAR
OTEDY,OO,PSAM,HOTEDY,OL,OLSDAR,OKAR,SEOL,RSUOL,YZED,OTY,HOPSEOR,OKAM,ARAJ,OTDOL,OPUDY,SUDY,YSAJ,OEODY,SKSY
