text,wordlen_mean,wordlen_std,wordlen_skew,wordlen_unique_mean,wordlen_unique_std,wordlen_unique_skew,wordlen_autocorr,wordunique_mean,wordunique_std,wordunique_skew,wordchange_mean,wordchange_std,wordchange_skew,worddist_max,worddist_shape,wordbias_mean,wordbias_std,wordbias_skew,wordbias_lines_mean,wordbias_lines_std,wordbias_lines_skew,chardist_max,chardist_shape,ngramdist_max,ngramdist_shape,charbias_mean,charbias_std,charbias_skew,charbias_words_mean,charbias_words_std,charbias_words_skew,unique_words,repeated_words,tripled_words,unique_chars,repeated_chars,tripled_chars,unique_ngrams,entropy,compression,zipf,flipped_pairs
Voynichese - Currier A - EVA Basic,4.96935915,1.83071969,0.334549668,5.290265219,1.862555412,0.273290402,0.090649332,1.116055094,0.847367379,4.194373849,0.971926454,0.743144751,3.793671489,10.26,1.55,1.853165323,0.556364859,-1.047779367,1.88369985,0.523462491,-1.127253961,0.159061647,0.048870032,152.1,6.799638801,0.527199815,0.249778655,4.558079398,1.114671179,0.329772578,0.865751196,140.94,0.009446711,0.000388551,19.64,0.049743014,0.005179272,296.12,1.469239515,0.401913011,7.24877417,0.032284129
Voynichese - Currier B - EVA Basic,5.269131243,1.766748667,0.265413927,5.480679825,1.81692014,0.324707021,0.114320775,1.063619135,0.696595342,3.465540293,0.962659889,0.572904873,3.017002077,9.04,1.4972,1.803143321,0.573909049,-0.867997996,1.827017425,0.544882004,-0.876080059,0.134869491,0.050047045,141.25,7.774055859,0.478124292,0.237389217,5.533030632,1.189649487,0.346108809,1.102827774,140.12,0.008361282,0.000147338,19.31,0.054770388,0.004330255,291.69,1.348822781,0.378798852,5.767695528,0.035669533
Voynichese - EVA Basic,5.328271264,2.051186564,0.820546418,5.572604219,2.11433111,0.806734794,0.104147403,1.096964636,0.79339683,4.299206562,0.958743574,0.639943571,3.489246223,7.62,1.3884,1.899385333,0.514290892,-1.245978767,1.925745085,0.479796971,-1.323236721,0.145685302,0.049641845,148.75,7.0270079,0.493297051,0.240591051,4.683943423,1.096200856,0.311548904,1.093386153,147.3,0.006785018,0.000196095,19.45,0.057385215,0.007085254,316.16,1.449674979,0.39772168,9.285473549,0.028160996
Voynichese - EVA Full,5.185504277,1.907891207,0.49260308,5.445490698,1.939328891,0.51874283,0.108754148,1.10543936,0.794115674,4.103590801,0.960334349,0.645522862,3.476297269,7.92,1.3608,1.875985007,0.532581848,-1.179349459,1.912711596,0.488066449,-1.276058529,0.144740874,0.041710088,142.74,6.745464487,0.536069092,0.287169195,4.432505666,1.143068403,0.339875629,0.98669707,142.91,0.007143645,0.000391323,23.44,0.05411331,0.0076563,314.01,1.444145296,0.405290303,8.173807812,0.032828983
Voynichese - v101,3.928536069,1.528867807,0.253463604,4.184380811,1.505313983,0.159344933,0.160894285,1.150058276,0.784702089,3.375631361,0.966987516,0.630497947,3.111770373,8.43,1.404,1.894781115,0.527745933,-1.230857243,1.922505752,0.496499073,-1.344631991,0.173325101,0.025712151,134.35,4.007718765,0.606964696,0.464790599,3.477272918,1.233228927,0.405985095,0.892566769,151.72,0.005989406,9.71E-05,37.41,0.011869388,0.000541258,352.51,1.604825971,0.485223815,7.093325771,0.027989483
naibbe_reference,5.25945,1.618558598,0.038865108,5.396460627,1.637506718,0.082550363,-0.038549444,1.028883709,0.55737399,2.958776652,1.013600781,0.557013877,3.007799902,6.46,1.106,1.898507751,0.519635757,-1.123508124,1.889430627,0.533317712,-1.10378387,0.129574667,0.05258096,136.35,7.900743306,0.414663253,0.17159001,4.439245067,1.209609098,0.35055156,0.794274126,154.89,0.0012,5.00E-05,18.25,0.066083258,0.005566548,287.63,1.519517529,0.405724049,9.937389845,0.012
